Time,Contamination,Touch_Pipette
8.620738, ,T
8.89839, ,T
8.909637, ,T
9.009682, ,T
9.020551, ,T
9.064992, ,T
9.076083, ,T
9.098318, ,T
9.120516, ,T
9.131633, ,T
9.153885, ,T
9.16502, ,T
9.364987, ,T
9.386955, ,T
9.398654, ,T
9.420266, ,T
9.498413, ,T
9.520437, ,T
9.554029, ,T
9.575746, ,T
9.754098, ,T
9.820562, ,T
9.910019, ,T
9.931243, ,T
10.00959, ,T
10.29776, ,T
11.65257, ,T
11.67492, ,T
11.68602, ,T
13.69615, ,T
14.35148, ,T
14.39582, ,T
14.85119, ,T
14.86246, ,T
14.89558, ,T
14.92888, ,T
14.93997, ,T
15.09553, ,T
16.55037, ,T
28.68921, ,T
28.7559, ,T
36.5189, ,T
