Time,HMDP.x,HMDP.y,HMDP.z,HMDR_Q.x,HMDR_Q.y,HMDR_Q.z,HMDR_Q.w,LeftHandP.x,LeftHandP.y,LeftHandP.z,LeftHandR_Q.x,LeftHandR_Q.y,LeftHandR_Q.z,LeftHandR_Q.w,RightHandP.x,RightHandP.y,RightHandP.z,RightHandR_Q.x,RightHandR_Q.y,RightHandR_Q.z,RightHandR_Q.w,TriggerPull
0.0275492,0.2424877,1.189585,-0.09799397,-0.03232026,0.07091191,0.002367255,-0.9969561,0.1039169,0.6661921,0.1619132,0.008058506,0.1324063,-0.02112628,-0.9909376,0.3246311,0.9573041,0.4184917,0.09805878,0.008678145,-0.5592766,-0.8231153,0.1647059
0.0550984,0.2427871,1.196043,-0.1053718,-0.01301857,0.07155391,0.003157125,-0.9973469,0.09838879,0.6696962,0.1605766,0.01378348,0.1429282,-0.02012507,-0.9894325,0.3155762,0.9999799,0.3892266,0.1943375,-0.0066871,-0.351704,-0.9156924,0
0.0750984,0.2424722,1.196612,-0.1061897,-0.01069283,0.07247551,0.002609946,-0.9973096,0.09828085,0.6715171,0.1602871,0.01868727,0.1417637,-0.02199,-0.9894799,0.3148334,1.001498,0.3845166,0.19318,0.001378552,-0.3123156,-0.9301283,0
0.0864779,0.2420655,1.197134,-0.1069343,-0.008667341,0.07342494,0.002229644,-0.9972607,0.09820575,0.673054,0.1599214,0.02286194,0.1406352,-0.02010318,-0.9895933,0.3138621,1.001959,0.3787189,0.1874291,0.009281492,-0.2704311,-0.9442729,0
0.0976291,0.2416301,1.197552,-0.1076791,-0.006702909,0.07432473,0.001828917,-0.9972099,0.09888715,0.6753802,0.1597896,0.02931796,0.1373878,-0.005482788,-0.9900682,0.313553,1.002831,0.3747065,0.1833286,0.0158536,-0.2295738,-0.955738,0
0.1084648,0.2411833,1.197938,-0.1083233,-0.004856036,0.07537113,0.001541241,-0.9971426,0.1005307,0.67857,0.1593968,0.03858193,0.1339909,0.02091225,-0.9900104,0.3134254,1.00171,0.3691827,0.1725718,0.02550457,-0.1840143,-0.9673196,0
0.119671,0.2406466,1.198279,-0.1088969,-0.003169739,0.07632443,0.00142041,-0.997077,0.1019444,0.6829492,0.1589334,0.0505254,0.1319038,0.04768582,-0.988825,0.3126395,0.9996926,0.3638611,0.1616764,0.03764216,-0.1392003,-0.9762515,0
0.1308929,0.240072,1.198504,-0.1093559,-0.001990937,0.07748477,0.001272299,-0.9969907,0.1031516,0.686722,0.1580391,0.0613589,0.1296491,0.06891829,-0.9872571,0.3118985,0.998493,0.3588721,0.1529766,0.04919722,-0.0993316,-0.9819934,0
0.1417361,0.2394682,1.198581,-0.1097128,-0.001181868,0.07859466,0.001009589,-0.9969054,0.1050578,0.6925438,0.1573062,0.07660951,0.1259114,0.09707249,-0.984304,0.3097224,0.9947969,0.3528307,0.1395133,0.06697203,-0.06502388,-0.9858107,0
0.1529729,0.2388785,1.198668,-0.1100057,-0.001148075,0.07965713,0.0005708182,-0.9968216,0.1076975,0.6992344,0.1567991,0.09230515,0.1214307,0.1267951,-0.9801314,0.3094214,0.9922478,0.3469507,0.1294365,0.07947031,-0.03171764,-0.987889,0
0.1642259,0.2383065,1.198686,-0.1103274,-0.001116576,0.08073178,0.0002059439,-0.9967352,0.1105008,0.7053872,0.1559697,0.107463,0.1159153,0.1575471,-0.9747791,0.307925,0.9882605,0.3410035,0.1172603,0.09296951,-0.003945921,-0.9887322,0
0.1750949,0.2377511,1.198488,-0.1104546,-0.00199795,0.08185942,-0.0003279463,-0.9966419,0.1155869,0.7142647,0.1547592,0.125714,0.1061753,0.1991864,-0.9660474,0.3066765,0.9842966,0.3350915,0.1052466,0.106849,0.02037442,-0.9884793,0
0.1861963,0.2372477,1.198224,-0.1105541,-0.002731179,0.08302686,-0.0009557664,-0.9965431,0.119665,0.7208399,0.1538641,0.1425954,0.09657913,0.2291519,-0.9580337,0.3046206,0.9810241,0.3297702,0.0939888,0.119686,0.04568582,-0.9872964,0
0.1974443,0.2367625,1.197843,-0.1105638,-0.003994078,0.08394944,-0.001873425,-0.9964603,0.1246245,0.7299067,0.1525816,0.1672684,0.08498462,0.2417742,-0.9520211,0.3036062,0.9767351,0.3245299,0.08381432,0.1323698,0.06366784,-0.9855962,0
0.20839,0.2363596,1.197415,-0.1105853,-0.005240705,0.08479571,-0.003017791,-0.9963801,0.1280466,0.7393541,0.1509113,0.1909399,0.07131663,0.2339252,-0.9506497,0.3026471,0.9724337,0.3194716,0.07592647,0.1425294,0.0775586,-0.9838218,0
0.2196775,0.2359765,1.196918,-0.110394,-0.006627678,0.08560932,-0.004268781,-0.9962976,0.1321328,0.7477879,0.149586,0.2100671,0.05153703,0.2290357,-0.9490829,0.3022227,0.9679549,0.3145427,0.07108817,0.1499516,0.08694134,-0.9822943,0
0.2305197,0.2355915,1.196501,-0.1101519,-0.008075891,0.08623512,-0.005499719,-0.9962269,0.1377208,0.7536516,0.1476926,0.2250573,0.02954597,0.2371663,-0.9445784,0.3023782,0.9628899,0.3097011,0.06924743,0.1545084,0.0839995,-0.9819756,0
0.2418485,0.2352315,1.195999,-0.109928,-0.00958816,0.08695995,-0.006388654,-0.9961452,0.1426164,0.7595829,0.1462959,0.2394224,0.00995119,0.2517181,-0.9376651,0.30207,0.9582037,0.3057378,0.06967526,0.1560636,0.07090025,-0.9827322,0
0.252737,0.2348645,1.195434,-0.109689,-0.01132425,0.0876018,-0.007185436,-0.9960654,0.147928,0.7643439,0.1446357,0.2499143,-0.008357937,0.2724113,-0.9291206,0.301846,0.9538034,0.3016276,0.06894583,0.1585609,0.06293694,-0.9829262,0
0.2639663,0.2345253,1.194738,-0.1094494,-0.01353721,0.08839276,-0.007830242,-0.995963,0.1517744,0.7690237,0.1434236,0.2571991,-0.02498177,0.2917787,-0.9209179,0.3017498,0.9490973,0.2983176,0.07148501,0.157755,0.04198261,-0.9839923,0
0.2749943,0.2341816,1.194079,-0.1092637,-0.01597097,0.08914175,-0.00850429,-0.9958547,0.1556234,0.7730649,0.1421405,0.2649202,-0.04117119,0.3106015,-0.911948,0.3010061,0.945241,0.2953666,0.07253236,0.1573242,0.02548612,-0.98455,0
0.2861691,0.2339466,1.193337,-0.1092205,-0.01894447,0.08986188,-0.009300346,-0.9957306,0.1587702,0.7770807,0.1409969,0.2698019,-0.05655798,0.3310081,-0.9024644,0.3010331,0.9409432,0.2919314,0.07279502,0.1567401,0.01290676,-0.984869,0
